Gm#,Date,Unnamed: 2,Tm,Unnamed: 4,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,W,L,cum_W,cum_L,WL_perc,Dd,DDD
1,"Thursday, Mar 30",boxscore,TEX,,PHI,W,11,7,,2000-01-01 00:00:00,1,Tied,Ragans,Soto,,03:04:00,D,38387,0.89,+,,1,0,1,0,100.0,"['Thursday', ' Mar 30']",Mar 30
2,"Saturday, Apr 1",boxscore,TEX,,PHI,W,16,3,,2000-02-01 00:00:00,1,up 0.5,Eovaldi,Wheeler,,03:10:00,D,31916,0.9,++,,1,0,2,0,100.0,"['Saturday', ' Apr 1']",Apr 1
3,"Sunday, Apr 2",boxscore,TEX,,PHI,W,2,1,,2000-03-01 00:00:00,1,up 1.0,Pérez,Falter,Smith,02:24:00,N,25823,0.93,+++,,1,0,3,0,100.0,"['Sunday', ' Apr 2']",Apr 2
4,"Monday, Apr 3",boxscore,TEX,,BAL,L,0,2,,2023-03-01 00:00:00,1,Tied,Coulombe,Gray,Bautista,02:18:00,N,15867,1.09,-,,0,1,3,1,75.0,"['Monday', ' Apr 3']",Apr 3
5,"Tuesday, Apr 4",boxscore,TEX,,BAL,L,2,7,,2023-03-02 00:00:00,1,Tied,Gibson,Heaney,,02:30:00,N,16268,1.01,--,,0,1,3,2,60.0,"['Tuesday', ' Apr 4']",Apr 4
6,"Wednesday, Apr 5",boxscore,TEX,,BAL,W,5,2,,2023-04-02 00:00:00,1,Tied,deGrom,Voth,Leclerc,02:19:00,D,18560,0.99,+,,1,0,4,2,66.66666666666666,"['Wednesday', ' Apr 5']",Apr 5
7,"Friday, Apr 7",boxscore,TEX,@,CHC,L,0,2,,2023-04-03 00:00:00,1,Tied,Stroman,Eovaldi,Fulmer,02:17:00,D,29094,0.95,-,,0,1,4,3,57.14285714285714,"['Friday', ' Apr 7']",Apr 7
8,"Saturday, Apr 8",boxscore,TEX,@,CHC,L,3,10,,2023-04-04 00:00:00,2,1,Steele,Pérez,,02:55:00,D,33578,0.96,--,,0,1,4,4,50.0,"['Saturday', ' Apr 8']",Apr 8
9,"Sunday, Apr 9",boxscore,TEX,@,CHC,W,8,2,,2023-05-04 00:00:00,1,Tied,Gray,Taillon,,02:31:00,D,28807,0.91,+,,1,0,5,4,55.55555555555556,"['Sunday', ' Apr 9']",Apr 9
10,"Monday, Apr 10",boxscore,TEX,,KCR,W,11,2,,2023-06-04 00:00:00,1,up 1.0,Heaney,Greinke,,02:30:00,N,17430,0.99,++,,1,0,6,4,60.0,"['Monday', ' Apr 10']",Apr 10
11,"Tuesday, Apr 11",boxscore,TEX,,KCR,W-wo,8,5,10.0,2023-07-04 00:00:00,1,up 1.0,Ragans,Barlow,,02:51:00,N,17760,1.05,+++,,0,1,6,5,54.54545454545454,"['Tuesday', ' Apr 11']",Apr 11
12,"Wednesday, Apr 12",boxscore,TEX,,KCR,L,1,10,,2023-07-05 00:00:00,1,Tied,Keller,Eovaldi,,02:24:00,N,18380,1.07,-,,0,1,6,6,50.0,"['Wednesday', ' Apr 12']",Apr 12
13,"Friday, Apr 14",boxscore,TEX,@,HOU,W,6,2,,2023-08-05 00:00:00,1,up 1.0,Pérez,Garcia,,02:46:00,N,39343,1.12,+,,1,0,7,6,53.84615384615385,"['Friday', ' Apr 14']",Apr 14
14,"Saturday, Apr 15",boxscore,TEX,@,HOU,L,2,8,,2023-08-06 00:00:00,1,up 1.0,Brown,Ragans,,02:35:00,N,39257,1.17,-,,0,1,7,7,50.0,"['Saturday', ' Apr 15']",Apr 15
15,"Sunday, Apr 16",boxscore,TEX,@,HOU,W,9,1,,2023-09-06 00:00:00,1,up 1.5,Burke,Valdez,,02:59:00,N,39122,1.09,+,,1,0,8,7,53.333333333333336,"['Sunday', ' Apr 16']",Apr 16
16,"Monday, Apr 17",boxscore,TEX,@,KCR,W,4,0,,2023-10-06 00:00:00,1,up 2.0,Dunning,Lyles,,02:02:00,N,11068,1.08,++,,1,0,9,7,56.25,"['Monday', ' Apr 17']",Apr 17
17,"Tuesday, Apr 18",boxscore,TEX,@,KCR,W,12,2,,2023-11-06 00:00:00,1,up 2.0,Eovaldi,Keller,,02:40:00,N,12118,1.11,+++,,1,0,10,7,58.82352941176471,"['Tuesday', ' Apr 18']",Apr 18
18,"Wednesday, Apr 19",boxscore,TEX,@,KCR,W,12,3,,2023-12-06 00:00:00,1,up 3.0,Pérez,Singer,,02:40:00,D,10388,1.13,++++,,1,0,11,7,61.111111111111114,"['Wednesday', ' Apr 19']",Apr 19
19,"Friday, Apr 21",boxscore,TEX,,OAK,L,4,5,,2023-12-07 00:00:00,1,up 2.5,Jackson,Smith,Familia,02:56:00,N,28775,1.17,-,,0,1,11,8,57.89473684210527,"['Friday', ' Apr 21']",Apr 21
20,"Saturday, Apr 22",boxscore,TEX,,OAK,W,18,3,,13-7,1,up 2.5,Heaney,Fujinami,,02:45:00,N,32388,1.11,+,,1,0,12,8,60.0,"['Saturday', ' Apr 22']",Apr 22
21,"Sunday, Apr 23",boxscore,TEX,,OAK,W,5,2,,14-7,1,up 2.5,deGrom,Muller,Smith,02:31:00,D,34916,1.17,++,,1,0,13,8,61.904761904761905,"['Sunday', ' Apr 23']",Apr 23
22,"Monday, Apr 24",boxscore,TEX,@,CIN,L-wo,6,7,,14-8,1,up 2.5,Díaz,Leclerc,,02:36:00,N,8810,1.14,-,,0,1,13,9,59.09090909090909,"['Monday', ' Apr 24']",Apr 24
23,"Tuesday, Apr 25",boxscore,TEX,@,CIN,L,6,7,,14-9,1,up 1.5,Sanmartin,Kennedy,Díaz,02:34:00,N,9969,1.15,--,,0,1,13,10,56.52173913043478,"['Tuesday', ' Apr 25']",Apr 25
24,"Wednesday, Apr 26",boxscore,TEX,@,CIN,L-wo,3,5,,14-10,1,up 0.5,Sims,Hernández,,02:34:00,D,10256,1.11,---,,0,1,13,11,54.166666666666664,"['Wednesday', ' Apr 26']",Apr 26
25,"Thursday, Apr 27",boxscore,TEX,,NYY,L,2,4,,14-11,1,Tied,Cole,Heaney,King,02:09:00,N,31325,1.15,----,,0,1,13,12,52.0,"['Thursday', ' Apr 27']",Apr 27
26,"Friday, Apr 28",boxscore,TEX,,NYY,W,5,2,,15-11,1,up 1.0,Dunning,Schmidt,Smith,02:20:00,N,36341,1.12,+,,1,0,14,12,53.84615384615385,"['Friday', ' Apr 28']",Apr 28
27,"Saturday, Apr 29",boxscore,TEX,,NYY,W,2,0,,16-11,1,up 2.0,Eovaldi,Brito,,02:06:00,N,40027,1.15,++,,1,0,15,12,55.55555555555556,"['Saturday', ' Apr 29']",Apr 29
28,"Sunday, Apr 30",boxscore,TEX,,NYY,W,15,2,,17-11,1,up 2.0,Pérez,Cortes,,02:30:00,D,39078,1.19,+++,,1,0,16,12,57.14285714285714,"['Sunday', ' Apr 30']",Apr 30
29,"Tuesday, May 2",boxscore,TEX,,ARI,W,6,4,,18-11,1,up 2.5,Burke,McGough,Smith,02:57:00,N,23086,1.11,++++,,1,0,17,12,58.620689655172406,"['Tuesday', ' May 2']",May 2
30,"Wednesday, May 3",boxscore,TEX,,ARI,L,7,12,,18-12,1,up 1.5,Mantiply,Sborz,,03:05:00,D,21427,1.17,-,,0,1,17,13,56.666666666666664,"['Wednesday', ' May 3']",May 3
31,"Friday, May 5",boxscore,TEX,@,LAA,L-wo,4,5,10.0,18-13,1,Tied,Estévez,Smith,,02:55:00,N,39073,1.35,--,,0,1,17,14,54.83870967741935,"['Friday', ' May 5']",May 5
32,"Saturday, May 6",boxscore,TEX,@,LAA,W,10,1,,19-13,1,up 1.0,Eovaldi,Detmers,,02:48:00,N,37409,1.38,+,,1,0,18,14,56.25,"['Saturday', ' May 6']",May 6
33,"Sunday, May 7",boxscore,TEX,@,LAA,W,16,8,,20-13,1,up 2.0,Sborz,Suarez,,03:06:00,D,41641,1.4,++,,1,0,19,14,57.57575757575758,"['Sunday', ' May 7']",May 7
34,"Monday, May 8",boxscore,TEX,@,SEA,W,2,1,,21-13,1,up 2.0,Gray,Gilbert,Smith,02:16:00,N,15282,1.38,+++,,1,0,20,14,58.82352941176471,"['Monday', ' May 8']",May 8
35,"Tuesday, May 9",boxscore,TEX,@,SEA,L,0,5,,21-14,1,up 2.0,Kirby,Heaney,,02:20:00,N,17638,1.35,-,,0,1,20,15,57.14285714285714,"['Tuesday', ' May 9']",May 9
36,"Wednesday, May 10",boxscore,TEX,@,SEA,W,4,3,,22-14,1,up 3.0,Dunning,Castillo,Smith,02:33:00,D,22480,1.4,+,,1,0,21,15,58.333333333333336,"['Wednesday', ' May 10']",May 10
37,"Thursday, May 11",boxscore,TEX,@,OAK,W,4,0,,23-14,1,up 3.5,Eovaldi,Medina,Smith,02:16:00,N,2949,1.24,++,,1,0,22,15,59.45945945945946,"['Thursday', ' May 11']",May 11
38,"Friday, May 12",boxscore,TEX,@,OAK,L-wo,7,9,10.0,23-15,1,up 2.5,Fujinami,Burke,,03:31:00,N,6575,1.19,-,,0,1,22,16,57.89473684210527,"['Friday', ' May 12']",May 12
39,"Saturday, May 13",boxscore,TEX,@,OAK,W,5,0,,24-15,1,up 3.5,Gray,Kaprielian,,02:18:00,D,8230,1.25,+,,1,0,23,16,58.97435897435898,"['Saturday', ' May 13']",May 13
40,"Sunday, May 14",boxscore,TEX,@,OAK,W,11,3,,25-15,1,up 4.0,Hernández,Pruitt,,02:46:00,D,7793,1.26,++,,1,0,24,16,60.0,"['Sunday', ' May 14']",May 14
41,"Monday, May 15",boxscore,TEX,,ATL,L,0,12,,25-16,1,up 3.0,Morton,Bradford,,02:31:00,N,26791,1.23,-,,0,1,24,17,58.536585365853654,"['Monday', ' May 15']",May 15
42,"Tuesday, May 16",boxscore,TEX,,ATL,W,7,4,,26-16,1,up 3.0,Dunning,Shuster,Smith,02:15:00,N,23246,1.22,+,,1,0,25,17,59.523809523809526,"['Tuesday', ' May 16']",May 16
43,"Wednesday, May 17",boxscore,TEX,,ATL,L,5,6,,26-17,1,up 2.0,Anderson,Burke,Iglesias,02:29:00,N,30035,1.23,-,,0,1,25,18,58.139534883720934,"['Wednesday', ' May 17']",May 17
44,"Friday, May 19",boxscore,TEX,,COL,W,7,2,,27-17,1,up 2.0,Pérez,Kauffmann,,02:23:00,N,30819,1.23,+,,1,0,26,18,59.09090909090909,"['Friday', ' May 19']",May 19
45,"Saturday, May 20",boxscore,TEX,,COL,W,11,5,,28-17,1,up 2.0,Gray,Freeland,,02:57:00,D,34443,1.25,++,,1,0,27,18,60.0,"['Saturday', ' May 20']",May 20
46,"Sunday, May 21",boxscore,TEX,,COL,W,13,3,,29-17,1,up 2.0,Heaney,Seabold,,02:50:00,D,32733,1.29,+++,,1,0,28,18,60.86956521739131,"['Sunday', ' May 21']",May 21
47,"Monday, May 22",boxscore,TEX,@,PIT,L,4,6,,29-18,1,up 1.0,Ortiz,Sborz,,02:29:00,N,10574,1.22,-,,0,1,28,19,59.57446808510638,"['Monday', ' May 22']",May 22
48,"Tuesday, May 23",boxscore,TEX,@,PIT,W,6,1,,30-18,1,up 2.0,Eovaldi,Hill,,02:13:00,N,12061,1.26,+,,1,0,29,19,60.416666666666664,"['Tuesday', ' May 23']",May 23
49,"Wednesday, May 24",boxscore,TEX,@,PIT,W,3,2,,31-18,1,up 3.0,Pérez,Oviedo,Smith,02:21:00,D,18347,1.28,++,,1,0,30,19,61.224489795918366,"['Wednesday', ' May 24']",May 24
50,"Friday, May 26",boxscore,TEX,@,BAL,W,12,2,,32-18,1,up 3.0,Gray,Rodriguez,,02:36:00,N,20293,1.34,+++,,1,0,31,19,62.0,"['Friday', ' May 26']",May 26
51,"Saturday, May 27",boxscore,TEX,@,BAL,W,5,3,,33-18,1,up 3.0,Heaney,Kremer,,02:28:00,D,37939,1.31,++++,,1,0,32,19,62.745098039215684,"['Saturday', ' May 27']",May 27
52,"Sunday, May 28",boxscore,TEX,@,BAL,L,2,3,,33-19,1,up 2.0,Coulombe,Ragans,Bautista,02:30:00,D,25124,1.29,-,,0,1,32,20,61.53846153846154,"['Sunday', ' May 28']",May 28
53,"Monday, May 29",boxscore,TEX,@,DET,W,5,0,,34-19,1,up 3.0,Eovaldi,Boyd,,02:35:00,D,19021,1.33,+,,1,0,33,20,62.264150943396224,"['Monday', ' May 29']",May 29
54,"Tuesday, May 30",boxscore,TEX,@,DET,W,10,6,,35-19,1,up 3.0,Anderson,Faedo,,02:41:00,N,14616,1.33,++,,1,0,34,20,62.96296296296296,"['Tuesday', ' May 30']",May 30
55,"Wednesday, May 31",boxscore,TEX,@,DET,L,2,3,,35-20,1,up 3.0,Vest,Dunning,Lange,02:44:00,D,20968,1.22,-,,0,1,34,21,61.81818181818181,"['Wednesday', ' May 31']",May 31
56,"Friday, Jun 2",boxscore,TEX,,SEA,W,2,0,,36-20,1,up 2.5,Gray,Castillo,Smith,02:05:00,N,31685,1.39,+,,1,0,35,21,62.5,"['Friday', ' Jun 2']",Jun 2
57,"Saturday, Jun 3",boxscore,TEX,,SEA,W,16,6,,37-20,1,up 2.5,Sborz,Woo,,03:01:00,D,34435,1.4,++,,1,0,36,21,63.1578947368421,"['Saturday', ' Jun 3']",Jun 3
58,"Sunday, Jun 4",boxscore,TEX,,SEA,W,12,3,,38-20,1,up 3.5,Eovaldi,Miller,,02:51:00,D,36495,1.28,+++,,1,0,37,21,63.793103448275865,"['Sunday', ' Jun 4']",Jun 4
59,"Monday, Jun 5",boxscore,TEX,,STL,W-wo,4,3,,39-20,1,up 3.5,Smith,Cabrera,,02:33:00,N,25161,1.1,++++,,0,1,37,22,62.71186440677966,"['Monday', ' Jun 5']",Jun 5
60,"Tuesday, Jun 6",boxscore,TEX,,STL,W,6,4,,40-20,1,up 4.5,Dunning,Liberatore,Smith,02:44:00,N,28151,1.09,+++++,,1,0,38,22,63.33333333333333,"['Tuesday', ' Jun 6']",Jun 6
61,"Wednesday, Jun 7",boxscore,TEX,,STL,L,0,1,,40-21,1,up 4.5,Hicks,Gray,Helsley,02:17:00,N,30251,1.03,-,,0,1,38,23,62.295081967213115,"['Wednesday', ' Jun 7']",Jun 7
62,"Friday, Jun 9",boxscore,TEX,@,TBR,L,3,8,,40-22,1,up 5.0,Glasnow,Heaney,,02:20:00,N,17447,1.12,--,,0,1,38,24,61.29032258064516,"['Friday', ' Jun 9']",Jun 9
63,"Saturday, Jun 10",boxscore,TEX,@,TBR,W,8,4,,41-22,1,up 5.0,Eovaldi,Bradley,,02:56:00,D,18932,1.14,+,,1,0,39,24,61.904761904761905,"['Saturday', ' Jun 10']",Jun 10
64,"Sunday, Jun 11",boxscore,TEX,@,TBR,L,3,7,,41-23,1,up 5.0,McClanahan,Pérez,,02:22:00,D,23069,1.11,-,,0,1,39,25,60.9375,"['Sunday', ' Jun 11']",Jun 11
65,"Monday, Jun 12",boxscore,TEX,,LAA,L,6,9,12.0,41-24,1,up 4.5,Bachman,Ragans,,03:49:00,N,26667,1.38,--,,0,1,39,26,60.0,"['Monday', ' Jun 12']",Jun 12
66,"Tuesday, Jun 13",boxscore,TEX,,LAA,L,3,7,,41-25,1,up 3.5,Herget,White,Estévez,02:55:00,N,25832,1.51,---,,0,1,39,27,59.09090909090909,"['Tuesday', ' Jun 13']",Jun 13
67,"Wednesday, Jun 14",boxscore,TEX,,LAA,W,6,3,,42-25,1,up 3.5,Sborz,Herget,,02:39:00,N,25406,1.58,+,,1,0,40,27,59.70149253731343,"['Wednesday', ' Jun 14']",Jun 14
68,"Thursday, Jun 15",boxscore,TEX,,LAA,L,3,5,,42-26,1,up 3.5,Ohtani,Eovaldi,Webb,02:47:00,N,35092,1.54,-,,0,1,40,28,58.82352941176471,"['Thursday', ' Jun 15']",Jun 15
69,"Friday, Jun 16",boxscore,TEX,,TOR,L,1,2,,42-27,1,up 3.5,Gausman,Pérez,Romano,02:28:00,N,34308,1.38,--,,0,1,40,29,57.971014492753625,"['Friday', ' Jun 16']",Jun 16
70,"Saturday, Jun 17",boxscore,TEX,,TOR,W,4,2,,43-27,1,up 4.5,Dunning,Richards,Smith,02:37:00,D,39383,1.41,+,,1,0,41,29,58.57142857142858,"['Saturday', ' Jun 17']",Jun 17
71,"Sunday, Jun 18",boxscore,TEX,,TOR,W,11,7,,44-27,1,up 4.5,King,Pearson,,03:08:00,D,38515,1.35,++,,1,0,42,29,59.154929577464785,"['Sunday', ' Jun 18']",Jun 18
72,"Monday, Jun 19",boxscore,TEX,@,CHW,W,5,2,,45-27,1,up 5.0,Heaney,Banks,Smith,02:47:00,N,19554,1.2,+++,,1,0,43,29,59.72222222222222,"['Monday', ' Jun 19']",Jun 19
73,"Tuesday, Jun 20",boxscore,TEX,@,CHW,L,6,7,,45-28,1,up 5.0,Graveman,Anderson,,02:55:00,N,21048,1.16,-,,0,1,43,30,58.9041095890411,"['Tuesday', ' Jun 20']",Jun 20
74,"Wednesday, Jun 21",boxscore,TEX,@,CHW,W,6,3,,46-28,1,up 5.5,Pérez,Kopech,,02:26:00,N,18963,1.26,+,,1,0,44,30,59.45945945945946,"['Wednesday', ' Jun 21']",Jun 21
75,"Friday, Jun 23",boxscore,TEX,@,NYY,W,4,2,10.0,47-28,1,up 6.5,Barlow,King,Smith,02:36:00,N,44822,1.19,++,,1,0,45,30,60.0,"['Friday', ' Jun 23']",Jun 23
76,"Saturday, Jun 24",boxscore,TEX,@,NYY,L,0,1,,47-29,1,up 6.0,Severino,Gray,Marinaccio,02:28:00,D,46018,1.1,-,,0,1,45,31,59.210526315789465,"['Saturday', ' Jun 24']",Jun 24
77,"Sunday, Jun 25",boxscore,TEX,@,NYY,L,3,5,,47-30,1,up 5.5,Marinaccio,King,King,02:49:00,D,46064,1.21,--,,0,1,45,32,58.44155844155844,"['Sunday', ' Jun 25']",Jun 25
78,"Monday, Jun 26",boxscore,TEX,,DET,L,2,7,,47-31,1,up 5.0,Englert,Heaney,,02:50:00,N,22320,1.22,---,,0,1,45,33,57.692307692307686,"['Monday', ' Jun 26']",Jun 26
79,"Tuesday, Jun 27",boxscore,TEX,,DET,W,8,3,,48-31,1,up 5.0,Sborz,White,,02:32:00,N,22805,1.26,+,,1,0,46,33,58.22784810126582,"['Tuesday', ' Jun 27']",Jun 27
80,"Wednesday, Jun 28",boxscore,TEX,,DET,W,10,2,,49-31,1,up 6.0,Dunning,Wentz,,02:27:00,N,27192,1.21,++,,1,0,47,33,58.75,"['Wednesday', ' Jun 28']",Jun 28
81,"Thursday, Jun 29",boxscore,TEX,,DET,L,5,8,,49-32,1,up 5.0,Englert,Barlow,,02:54:00,D,26977,1.15,-,,0,1,47,34,58.0246913580247,"['Thursday', ' Jun 29']",Jun 29
82,"Friday, Jun 30",boxscore,TEX,,HOU,L,3,5,,49-33,1,up 4.0,Blanco,Gray,Pressly,02:26:00,N,39174,1.62,--,,0,1,47,35,57.3170731707317,"['Friday', ' Jun 30']",Jun 30
83,"Saturday, Jul 1",boxscore,TEX,,HOU,W,5,2,,50-33,1,up 5.0,Eovaldi,Brown,,02:41:00,D,40380,1.72,+,,1,0,48,35,57.831325301204814,"['Saturday', ' Jul 1']",Jul 1
84,"Sunday, Jul 2",boxscore,TEX,,HOU,L,3,5,,50-34,1,up 4.0,Neris,Sborz,Pressly,02:41:00,D,39580,1.64,-,,0,1,48,36,57.14285714285714,"['Sunday', ' Jul 2']",Jul 2
85,"Monday, Jul 3",boxscore,TEX,,HOU,L,11,12,,50-35,1,up 3.0,Abreu,Smith,Pressly,03:04:00,D,38936,1.75,--,,0,1,48,37,56.470588235294116,"['Monday', ' Jul 3']",Jul 3
86,"Tuesday, Jul 4",boxscore,TEX,@,BOS,W,6,2,,51-35,1,up 3.0,Dunning,Ort,Smith,02:40:00,D,36136,1.47,+,,1,0,49,37,56.97674418604651,"['Tuesday', ' Jul 4']",Jul 4
87,"Wednesday, Jul 5",boxscore,TEX,@,BOS,L,2,4,,51-36,1,up 2.0,Bello,Gray,Jansen,02:21:00,N,31568,1.37,-,,0,1,49,38,56.32183908045977,"['Wednesday', ' Jul 5']",Jul 5
88,"Thursday, Jul 6",boxscore,TEX,@,BOS,L,6,10,,51-37,1,up 2.0,Winckowski,Sborz,,03:14:00,N,33847,1.45,--,,0,1,49,39,55.68181818181818,"['Thursday', ' Jul 6']",Jul 6
89,"Friday, Jul 7",boxscore,TEX,@,WSN,W,7,2,,52-37,1,up 3.0,Bradford,Williams,,02:27:00,N,19322,1.43,+,,1,0,50,39,56.17977528089888,"['Friday', ' Jul 7']",Jul 7
90,"Saturday, Jul 8",boxscore,TEX,@,WSN,L,3,8,,52-38,1,up 2.0,Irvin,Heaney,,02:12:00,D,29402,1.39,-,,0,1,50,40,55.55555555555556,"['Saturday', ' Jul 8']",Jul 8
91,"Sunday, Jul 9",boxscore,TEX,@,WSN,L,2,7,,52-39,1,up 2.0,Corbin,Dunning,,02:25:00,D,17547,1.48,--,,0,1,50,41,54.94505494505495,"['Sunday', ' Jul 9']",Jul 9
92,"Friday, Jul 14",boxscore,TEX,,CLE,W,12,4,,53-39,1,up 2.0,Burke,Hentges,,02:51:00,N,33863,1.63,+,,1,0,51,41,55.434782608695656,"['Friday', ' Jul 14']",Jul 14
93,"Saturday, Jul 15",boxscore,TEX,,CLE,W,2,0,,54-39,1,up 3.0,Heaney,Williams,Chapman,02:28:00,D,37730,1.58,++,,1,0,52,41,55.91397849462365,"['Saturday', ' Jul 15']",Jul 15
94,"Sunday, Jul 16",boxscore,TEX,,CLE,W,6,5,,55-39,1,up 3.0,Bradford,Stephan,Smith,02:43:00,D,33957,1.46,+++,,1,0,53,41,56.38297872340425,"['Sunday', ' Jul 16']",Jul 16
95,"Monday, Jul 17",boxscore,TEX,,TBR,W-wo,3,2,,56-39,1,up 3.5,Chapman,Fairbanks,,02:07:00,N,29901,1.42,++++,,0,1,53,42,55.78947368421052,"['Monday', ' Jul 17']",Jul 17
96,"Tuesday, Jul 18",boxscore,TEX,,TBR,W,5,3,,57-39,1,up 4.5,Eovaldi,Bradley,Smith,02:37:00,N,34677,1.34,+++++,,1,0,54,42,56.25,"['Tuesday', ' Jul 18']",Jul 18
97,"Wednesday, Jul 19",boxscore,TEX,,TBR,W,5,1,,58-39,1,up 4.5,Burke,Littell,,02:38:00,D,31591,1.25,++++++,,1,0,55,42,56.70103092783505,"['Wednesday', ' Jul 19']",Jul 19
98,"Friday, Jul 21",boxscore,TEX,,LAD,L,5,11,,58-40,1,up 3.0,Brasier,Speas,,03:21:00,N,39808,1.18,-,,0,1,55,43,56.12244897959183,"['Friday', ' Jul 21']",Jul 21
99,"Saturday, Jul 22",boxscore,TEX,,LAD,L,3,16,,58-41,1,up 3.0,Miller,Dunning,,02:50:00,D,40738,1.34,--,,0,1,55,44,55.55555555555556,"['Saturday', ' Jul 22']",Jul 22
